식품명,식품대분류명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
#딸기티라미수,과자류·빵류 또는 떡류,100g,305.0,3.0,20.0,28.0,20.0,,65.0,55.0,8.0,0.0
#마카롱트리,과자류·빵류 또는 떡류,100g,350.0,4.0,21.0,36.0,26.0,,80.0,75.0,13.0,2.0
#뷔슈드노엘,과자류·빵류 또는 떡류,100g,345.0,5.0,20.0,36.0,25.0,,60.0,90.0,12.0,0.0
#트리몽블랑,과자류·빵류 또는 떡류,100g,320.0,4.0,19.0,33.0,19.0,,60.0,90.0,13.0,0.0
+ 모짜렐라 스틱,유가공품류,100g,280.0,21.9,21.0,1.0,0.0,,587.0,72.0,13.4,0.6
0.3mm 아주 얇은 만두피,즉석식품류,100g,263.0,9.8,1.1,53.3,0.0,,206.33,0.0,0.0,0.0
0.5mm 페이퍼롤 버터맛,과자류·빵류 또는 떡류,100g,515.0,8.46,25.13,63.66,28.63,,180.0,55.08,14.06,0.6
0.5mm 페이퍼롤 초코맛,과자류·빵류 또는 떡류,100g,528.0,9.81,29.29,56.38,29.56,,175.0,56.81,16.61,0.61
0.7공깃밥,즉석식품류,100g,150.0,0.0,0.73,33.33,0.0,,7.0,0.0,0.0,0.0
002콜드브루,음료류,100g,17.0,1.02,0.18,2.82,0.0,,0.0,0.0,0.0,0.0
08:50 BEANSIX COFFEE MIX,음료류,100g,421.0,3.4,10.4,80.8,48.9,4.9,39.0,0.0,8.2,0.0
1++ 양념한우등심불고기,식육가공품 및 포장육,100g,205.0,17.0,9.0,14.0,5.0,,320.0,35.0,4.2,0.0
1+1핫도그,과자류·빵류 또는 떡류,100g,300.0,8.75,15.0,32.5,11.25,,588.0,25.0,4.0,0.05
1+등급 판정 구운계란,알가공품류,100g,170.0,16.45,10.08,3.46,0.0,,188.0,428.27,3.57,0.0
1+등급 한우 불고기,식육가공품 및 포장육,100g,225.0,14.4,14.5,9.2,8.2,,492.0,45.7,4.8,0.3
1+등급 한우 양념 불고기,식육가공품 및 포장육,100g,199.0,14.38,11.73,8.89,2.96,,316.0,37.69,5.31,0.03
1+등급 한우 양념 불고기 2.2 kg,식육가공품 및 포장육,100g,199.0,14.38,11.73,8.89,2.96,,316.0,37.69,5.31,0.03
1-MINUTE STOCK RINGS,조미식품,100g,9.0,0.6,0.1,1.6,0.1,,530.0,52.72,0.0,0.01
1.5미터 롤 쓱시지,식육가공품 및 포장육,100g,300.0,13.61,26.43,1.94,0.0,,619.0,54.3,10.09,0.18
1.6자연숙성양조간장,장류,100g,64.0,9.8,0.0,6.3,0.4,,6454.0,0.0,0.0,0.0
1/2 크링클 컷,농산가공식품류,100g,137.0,3.1,3.4,23.4,0.0,,11.0,0.0,0.9,0.0
1/2 하프마요네스,조미식품,100g,405.0,0.0,37.0,18.0,4.0,,630.0,60.0,7.0,0.5
1/4’’ 프로즌 플라워 코티드 프라이즈,농산가공식품류,100g,133.0,2.0,4.5,21.0,0.5,,490.0,0.0,2.3,0.0
1000모나카 초코,빙과류,100g,117.0,0.71,3.5,20.71,10.0,,4.0,5.0,3.29,0.0
1000아일랜드드레싱,조미식품,100g,377.5,1.0,35.0,15.0,10.5,,722.5,16.5,5.3,0.25
1000원 아메리카노 블랙,음료류,100g,3.0,0.16,0.0,0.44,0.0,,9.0,0.0,0.0,0.0
1000원 아메리카노 스위트,음료류,100g,3.0,0.16,0.0,0.57,0.0,,9.0,0.0,0.0,0.0
1000원 아메리카노 헤이즐넛향,음료류,100g,11.0,0.1,0.02,2.62,2.33,,23.0,0.0,0.0,0.0
1000콘 딸기우유,빙과류,100g,148.0,1.43,5.0,24.29,12.86,,28.0,6.43,3.5,0.0
1000콘 밀크바닐라,빙과류,100g,136.0,2.0,5.33,20.0,10.67,,18.0,6.0,4.0,0.06
1000콘 초코바닐라,빙과류,100g,143.0,2.0,4.67,23.33,11.33,,24.0,3.33,3.27,0.04
100s쭈꾸미,수산가공식품류,100g,160.0,1.0,20.0,1.0,1.0,,110.0,20.0,1.0,1.0
100과일로만든라즈베리잼,잼류,100g,184.0,1.0,0.0,45.0,44.0,,0.0,0.0,0.0,0.0
100과일로만든레드과일잼,잼류,100g,176.0,1.0,0.0,43.0,43.0,,0.0,0.0,0.0,0.0
100과일로만든모렐로체리잼,잼류,100g,180.0,1.0,0.0,44.0,42.0,,0.0,0.0,0.0,0.0
100과일로만든블루베리잼,잼류,100g,188.0,1.0,0.0,46.0,44.0,,0.0,0.0,0.0,0.0
100과일로만든살구잼,잼류,100g,180.0,1.0,0.0,44.0,44.0,,0.0,0.0,0.0,0.0
100과일로만든자두잼,잼류,100g,188.0,1.0,0.0,46.0,45.0,,0.0,0.0,0.0,0.0
100국산 밤묵가루 전분,농산가공식품류,100g,358.0,1.39,0.24,87.5,0.0,,2.0,0.0,0.09,0.0
100국산고추장,장류,100g,230.0,5.0,3.2,45.0,27.0,,2340.0,0.0,0.7,0.0
100국산맛밤,농산가공식품류,100g,164.0,2.86,1.86,34.29,8.57,,57.0,0.0,0.0,0.0
100국산배도라지즙,음료류,100g,50.0,0.0,0.0,13.0,6.0,,0.0,0.0,0.0,0.0
100국산서리태콩물,농산가공식품류,100g,38.5,3.5,1.6,2.42,0.56,,79.0,0.0,0.1,0.0
100국산순도토리칼국수,면류,100g,247.0,1.0,0.93,58.79,0.0,,4.0,0.0,0.21,0.0
100그대로블랙석류,음료류,100g,64.0,0.0,0.0,15.71,14.29,,0.0,0.0,0.0,0.0
100그대로핑크석류,음료류,100g,64.0,0.0,0.0,15.71,12.86,,0.0,0.0,0.0,0.0
100깔라만시,음료류,100g,36.0,0.0,0.0,9.0,9.0,,15.0,0.0,0.0,0.0
100년가 공화춘 중화면,면류,100g,270.0,6.0,0.9,59.0,0.0,,650.0,0.0,0.2,0.0
100년나무 순우리 가루미 백앙금 호두과자,과자류·빵류 또는 떡류,100g,275.0,6.0,4.6,52.0,26.0,,65.0,10.0,1.0,0.0
100년나무 순우리 가루미 호두과자,과자류·빵류 또는 떡류,100g,275.0,6.0,5.0,51.0,26.0,,85.0,15.0,1.1,0.0
100년나무 우리밀 백앙금 호두과자,과자류·빵류 또는 떡류,100g,275.0,6.0,4.6,52.0,26.0,,65.0,10.0,1.0,0.0
100년나무 통밀이 들어간 가루미 백앙금 호두과자,과자류·빵류 또는 떡류,100g,275.0,6.0,4.6,52.0,26.0,,65.0,10.0,1.0,0.0
100년나무 통밀이 들어간 가루미 호두과자,과자류·빵류 또는 떡류,100g,275.0,6.0,5.0,51.0,26.0,,85.0,15.0,1.1,0.0
100년나무 통밀이 들어간 가루미 호두과자용 반죽,기타식품류,100g,300.0,6.0,12.0,45.0,20.0,,150.0,50.0,3.0,0.0
100년나무 호두과자,과자류·빵류 또는 떡류,100g,275.0,6.0,5.0,51.0,26.0,,85.0,15.0,1.1,0.0
100년보다깊은제주콩청국장찌개,즉석식품류,100g,64.0,7.5,0.3,8.0,0.8,,108.0,0.0,0.2,0.0
100년전통문옥례된장,장류,100g,100.0,12.0,0.7,12.0,0.0,,6250.0,0.0,0.0,0.0
100노니주스,음료류,100g,20.0,0.0,0.0,5.0,3.0,,0.0,0.0,0.0,0.0
100담은 아누카사과추출 정,농산가공식품류,100g,384.0,3.0,1.3,90.0,23.0,,62.0,0.0,0.9,0.0
100당근착즙액,음료류,100g,30.0,1.0,0.0,7.0,4.0,,43.0,0.0,0.0,0.0
100레드비트,음료류,100g,27.0,0.0,0.0,6.8,6.0,,20.0,0.0,0.0,0.0
100레드비트착즙주스,음료류,100g,29.0,1.0,0.0,7.0,5.0,,54.0,0.0,0.0,0.0
100만 파로 효소,농산가공식품류,100g,385.0,14.58,1.9,77.46,4.72,,142.0,0.0,0.54,0.01
100메밀로만든메밀면,면류,100g,243.0,8.0,1.5,49.0,1.0,,0.0,0.0,0.0,0.0
100미니크로아상,과자류·빵류 또는 떡류,100g,320.0,8.0,16.0,36.0,6.0,,368.0,44.0,10.0,0.54
100발효노니주스,음료류,100g,24.0,0.0,0.0,6.0,4.0,,5.0,0.0,0.0,0.0
100배즙,음료류,100g,36.0,0.0,0.0,9.0,6.0,,0.0,0.0,0.0,0.0
100사각,수산가공식품류,100g,185.0,14.0,3.7,24.0,4.0,,826.0,31.0,0.3,0.0
